State,total_inmates,inmates_citizen,inmates_non_citizen,inmates_unknown,inmates_pct_citizen,inmates_pct_non_citizen,inmates_pct_unknown
Total,"734,470","572,830","39,630","122,010",78,5.4,16.6
Maine,"1,620","1,620",^,10,99.6,0.1,0.3
Massachusetts,"9,260","6,610",710,"1,940",71.4,7.7,21
New Hampshire,"1,400","1,310",90,0,93.6,6.4,0
New Jersey,"9,550","5,800","1,680","2,070",60.7,17.6,21.7
New York,"20,450","18,670",740,"1,040",91.3,3.6,5.1
Pennsylvania,"31,300","22,240","1,450","7,610",71.1,4.6,24.3
Illinois,"16,490","8,550",840,"7,110",51.8,5.1,43.1
Indiana,"20,430","19,740",310,380,96.6,1.5,1.9
Iowa,"5,020","4,730",290,^,94.1,5.8,0.1
Kansas,"8,080","6,590",280,"1,220",81.5,3.4,15.1
Michigan,"15,880","14,440",530,910,91,3.3,5.7
Minnesota,"6,840","5,820",580,440,85.1,8.4,6.5
Missouri,"11,580","11,130",230,210,96.2,2,1.8
Nebraska,"4,200","3,820",270,110,91.1,6.3,2.6
North Dakota,"1,470","1,160",20,300,78.7,1.2,20.1
Ohio,"20,580","17,540",370,"2,670",85.2,1.8,13
South Dakota,"2,010","1,950",20,50,96.8,0.7,2.4
Wisconsin,"12,750","11,110",480,"1,170",87.1,3.7,9.2
Alabama,"16,450","15,100",280,"1,070",91.8,1.7,6.5
Arkansas,"9,400","8,010",220,"1,170",85.3,2.3,12.4
District of Columbia,"1,820",0,30,"1,790",0,1.5,98.5
Florida,"56,660","45,250","3,400","8,010",79.9,6,14.1
Georgia,"44,810","36,190","4,990","3,630",80.8,11.1,8.1
Kentucky,"26,190","25,130",480,580,96,1.8,2.2
Louisiana,"32,560","26,280","1,540","4,740",80.7,4.7,14.6
Maryland,"8,590","6,900",700,990,80.3,8.2,11.5
Mississippi,"14,340","12,390","1,510",440,86.4,10.5,3
North Carolina,"20,360","16,670",380,"3,320",81.8,1.8,16.3
Oklahoma,"10,630","9,730",460,440,91.6,4.3,4.1
South Carolina,"11,470","10,860",270,340,94.7,2.4,3
Tennessee,"31,240","28,850",580,"1,820",92.3,1.9,5.8
Texas,"68,770","52,980","7,680","8,120",77,11.2,11.8
Virginia,"28,380","26,200","1,000","1,180",92.3,3.5,4.2
West Virginia,"5,110",^,0,"5,110",0,0,100
Alaska,50,50,0,^,97.8,0,2.2
Arizona,"13,540","11,100","2,060",380,82,15.2,2.8
California,"75,060","33,950","2,860","38,250",45.2,3.8,51
Colorado,"13,000","9,200",360,"3,440",70.8,2.8,26.4
Idaho,"4,250","3,810",150,290,89.6,3.5,6.9
Montana,"2,510","2,130",10,370,84.8,0.5,14.8
Nevada,"7,220","6,640",530,50,92,7.4,0.6
New Mexico,"6,550","4,560",100,"1,890",69.6,1.5,28.9
Oregon,"6,040","4,040",100,"1,910",66.9,1.6,31.6
Utah,"7,300","6,350",760,190,87,10.4,2.6
Washington,"11,710","6,130",310,"5,270",52.4,2.6,45
Wyoming,"1,570","1,530",30,20,97.4,1.7,0.9
