State,2005_inmates_in_custody,2013_inmates_in_custody,2019_inmates_in_custody,2005_2013_percent_change,2013_2019_percent_change,2005_2019_percent_change,2005_incarceration_rate,2013_incarceration_rate,2019_incarceration_rate,2005_2013_rate_percent_change,2013_2019_rate_percent_change,2005_2019_rate_percent_change,total_inmates,adult_total,adult_male,adult_female,juvenile_total,juvenile_male,juvenile_female,pct_male,pct_female,pct_white,pct_black,pct_hispanic,pct_native_indian,pct_asian,pct_islander,pct_two_race,inmates_citizen,inmates_non_citizen,inmates_unknown,pct_citizen,pct_non_citizen,pct_unknown
Total,"747,530","731,570","734,470",-2.1,0.4,-1.7,253,230,224,-9.1,-2.6,-11.5,"734,470","731,580","621,070","110,510","2,880","2,660",230,84.9,15.1,49.4,33.6,14.6,1.4,0.6,0.1,0.3,"572,830","39,630","122,010",78,5.4,16.6
Maine,"1,550","1,750","1,620",12.9,-7.4,4.5,118,132,120,11.9,-9.1,1.7,"1,620","1,620","1,360",270,0,0,0,83.5,16.5,84.2,11.1,3.1,1.1,0.4,^,0.1,"1,620",^,10,99.6,0.1,0.3
Massachusetts,"12,620","10,350","9,260",-18,-10.5,-26.6,196,154,134,-21.4,-13,-31.6,"9,260","9,260","8,750",510,0,0,0,94.5,5.5,43.1,25.8,28.9,0.3,1.6,^,0.4,"6,610",710,"1,940",71.4,7.7,21
New Hampshire,"1,730","1,840","1,400",6.4,-23.9,-19.1,133,139,103,4.5,-25.9,-22.6,"1,400","1,400","1,190",200,0,0,0,85.4,14.6,72.5,13.4,12.2,0.5,1.3,0.1,^,"1,310",90,0,93.6,6.4,0
New Jersey,"17,620","15,240","9,550",-13.5,-37.3,-45.8,204,171,107,-16.2,-37.4,-47.5,"9,550","9,550","8,770",770,0,0,0,91.9,8.1,24.6,46.5,27.6,0.1,0.9,0.1,0.2,"5,800","1,680","2,070",60.7,17.6,21.7
New York,"29,540","26,950","20,450",-8.8,-24.1,-30.8,153,137,105,-10.5,-23.4,-31.4,"20,450","20,060","18,020","2,040",106,96,10,89.9,10.1,35.3,45.6,17.7,0.5,0.9,^,^,"18,670",740,"1,040",91.3,3.6,5.1
Pennsylvania,"34,460","36,720","31,300",6.6,-14.8,-9.2,277,287,244,3.6,-15,-11.9,"31,300","31,210","26,650","4,560",89,84,5,85.4,14.6,52.3,36.1,11,0.1,0.5,^,0.1,"22,240","1,450","7,610",71.1,4.6,24.3
Illinois,"20,070","20,600","16,490",2.6,-20,-17.8,158,160,130,1.3,-18.8,-17.7,"16,490","16,490","14,690","1,800",1,1,0,89.1,10.9,33.8,51,14.4,0.1,0.4,^,0.2,"8,550",840,"7,110",51.8,5.1,43.1
Indiana,"17,570","16,600","20,430",-5.5,23.1,16.3,281,252,303,-10.3,20.2,7.8,"20,430","20,370","16,340","4,020",62,61,1,80.3,19.7,77.2,17.6,4.6,0.1,0.3,^,0.2,"19,740",310,380,96.6,1.5,1.9
Iowa,"3,640","4,010","5,020",10.2,25.2,37.9,123,129,159,4.9,23.3,29.3,"5,020","4,990","4,210",780,34,31,3,84.5,15.5,63.6,24.7,8.6,1.8,0.9,0.3,0.1,"4,730",290,^,94.1,5.8,0.1
Kansas,"6,900","6,860","8,080",-0.6,17.8,17.1,252,237,277,-6,16.9,9.9,"8,080","8,060","6,730","1,330",19,18,1,83.5,16.5,61.3,25.2,11.9,1,0.4,0.1,0.2,"6,590",280,"1,220",81.5,3.4,15.1
Michigan,"18,120","16,350","15,880",-9.8,-2.9,-12.4,180,165,159,-8.3,-3.6,-11.7,"15,880","15,780","13,180","2,600",93,83,10,83.5,16.5,57.2,35.9,4.9,0.9,0.3,^,0.8,"14,440",530,910,91,3.3,5.7
Minnesota,"7,020","6,400","6,840",-8.8,6.9,-2.6,137,118,121,-13.9,2.5,-11.7,"6,840","6,840","5,820","1,010",5,4,1,85.2,14.8,51.2,27.6,9.8,8.6,2.5,0.1,0.3,"5,820",580,440,85.1,8.4,6.5
Missouri,"10,460","11,430","11,580",9.3,1.3,10.7,180,189,189,5,0,5,"11,580","11,530","9,810","1,720",45,42,3,85.1,14.9,62.6,33.1,3.5,0.1,0.4,^,0.3,"11,130",230,210,96.2,2,1.8
Nebraska,"3,100","3,480","4,200",12.3,20.7,35.5,177,186,217,5.1,16.7,22.6,"4,200","4,190","3,460",730,5,4,1,82.6,17.4,56.2,22.9,15,4.5,0.8,^,0.6,"3,820",270,110,91.1,6.3,2.6
North Dakota,940,"1,230","1,470",30.9,19.5,56.4,148,168,193,13.5,14.9,30.4,"1,470","1,470","1,160",310,0,0,0,78.9,21.1,53.5,12.3,4.2,28.6,0.1,0.1,1.2,"1,160",20,300,78.7,1.2,20.1
Ohio,"19,850","18,190","20,580",-8.4,13.1,3.7,173,157,176,-9.2,12.1,1.7,"20,580","20,560","16,570","3,990",24,24,0,80.6,19.4,62.6,34,3,^,0.2,^,0.2,"17,540",370,"2,670",85.2,1.8,13
South Dakota,"1,430","1,680","2,010",17.5,19.6,40.6,183,198,227,8.2,14.6,24,"2,010","2,000","1,520",480,7,6,1,76.2,23.8,41.9,6.9,3.6,47,0.6,^,^,"1,950",20,50,96.8,0.7,2.4
Wisconsin,"14,300","12,150","12,750",-15,4.9,-10.8,258,211,219,-18.2,3.8,-15.1,"12,750","12,690","10,690","2,000",48,42,6,84.3,15.7,56.9,30.7,5.7,5.1,1.4,0.1,^,"11,110",480,"1,170",87.1,3.7,9.2
Alabama,"15,140","15,580","16,450",2.9,5.6,8.7,333,322,335,-3.3,4,0.6,"16,450","16,410","13,680","2,730",34,34,0,83.4,16.6,53.8,43.2,2.7,0.1,0.1,^,^,"15,100",280,"1,070",91.8,1.7,6.5
